#id	symbol	day0	day4	day5	day6
ENSMUSG00000000001	Gnai3	34.5114	41.8286	54.1057	50.6973
ENSMUSG00000000003	Pbsn	0	0	0	0
ENSMUSG00000000028	Cdc45	12.0556	13.6132	2.7873	0.326
ENSMUSG00000000031	H19	7.9035	0.7637	0.4325	1.1172
ENSMUSG00000000037	Scml2	1.0506	0.478	0.4048	0.1832
ENSMUSG00000000049	Apoh	0	0	0	0.0235
ENSMUSG00000000056	Narf	4.4746	3.5449	22.5306	22.5909
ENSMUSG00000000058	Cav2	0.2077	0	0.02	0.1738
ENSMUSG00000000078	Klf6	9.7359	2.4125	5.3194	15.6959
ENSMUSG00000000085	Scmh1	1.7822	4.9572	7.2236	6.7461
ENSMUSG00000000088	Cox5a	56.2357	101.741	54.3038	64.6177
ENSMUSG00000000093	Tbx2	0.0074	0.4796	0.0857	2.6671
ENSMUSG00000000094	Tbx4	0.0826	0	0	0
ENSMUSG00000000103	Zfy2	0.0301	0	0	0
ENSMUSG00000000120	Ngfr	0.9047	1.4498	15.9357	32.0508
ENSMUSG00000000125	Wnt3	0.0696	0.0794	0.0377	0.0841
ENSMUSG00000000126	Wnt9a	0.2106	0.1442	0.2845	0.1314
ENSMUSG00000000127	Fer	8.3554	4.6018	10.5715	10.1234
ENSMUSG00000000131	Xpo6	20.6132	18.5941	15.3509	15.3322
ENSMUSG00000000134	Tfe3	6.1363	5.4413	4.2941	3.2263
ENSMUSG00000000142	Axin2	7.0863	4.4998	5.7455	2.0065
ENSMUSG00000000148	Baat1	2.1712	3.4104	4.0156	3.6105
ENSMUSG00000000149	Gna12	4.9592	11.4908	13.881	13.865
ENSMUSG00000000154	Slc22a18	0.6764	0.1921	0	0.0603
ENSMUSG00000000157	Itgb2l	0	0	0	0
ENSMUSG00000000159	Igsf5	0.0585	0.0264	0	0.0275
ENSMUSG00000000167	Pih1d2	0.9048	1.8358	0.884	0.7637
ENSMUSG00000000168	Dlat	21.9465	14.4074	14.0694	15.7851
ENSMUSG00000000171	Sdhd	51.576	55.7851	30.4296	30.0954
ENSMUSG00000000182	Fgf23	0	0.0244	0	0.0661
ENSMUSG00000000183	Fgf6	0	0	0	0
ENSMUSG00000000184	Ccnd2	3.0202	82.2403	12.2021	0.7725
ENSMUSG00000000194	Gpr107	9.6186	11.2801	9.0011	9.3293
