"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000000419",207.9371611,287.3946445,"DPM1"
"ENSG00000000457",86.15341586,100.2836837,"SCYL3"
"ENSG00000000460",77.01127989,42.46101818,"C1orf112"
"ENSG00000001036",219.6403617,203.3317723,"FUCA2"
"ENSG00000001084",207.8384436,158.495575,"GCLC"
"ENSG00000001167",300.7458856,226.4863412,"NFYA"
"ENSG00000001460",317.1827322,355.6339253,"STPG1"
"ENSG00000001461",292.9549275,274.8861515,"NIPAL3"
"ENSG00000001497",366.1391123,303.0420909,"LAS1L"
"ENSG00000001561",348.9633496,227.8903476,"ENPP4"
"ENSG00000001617",60.70667775,87.84056653,"SEMA3F"
"ENSG00000001626",104.0473412,16.27230026,"CFTR"
"ENSG00000001629",1550.256191,955.6428433,"ANKIB1"
"ENSG00000001630",30.92568697,44.98199853,"CYP51A1"
"ENSG00000001631",309.7195901,147.2991717,"KRIT1"
"ENSG00000002016",128.4209604,61.46288876,"RAD52"
"ENSG00000002330",166.8568864,318.3357743,"BAD"
"ENSG00000002549",257.6071805,276.0914131,"LAP3"
"ENSG00000002586",1678.824559,2000.755848,"CD99"
"ENSG00000002587",67.94976796,181.444895,"HS3ST1"
"ENSG00000002746",157.4901753,302.2369662,"HECW1"
"ENSG00000002822",163.4092278,293.1921212,"MAD1L1"
"ENSG00000002834",773.4907437,989.1584544,"LASP1"
"ENSG00000002919",219.6874587,420.6159572,"SNX11"
"ENSG00000002933",23.29863693,132.4680241,"TMEM176A"
"ENSG00000003056",432.3337856,452.6534191,"M6PR"
"ENSG00000003096",305.1833791,387.2851498,"KLHL13"
"ENSG00000003137",1142.301885,12.23891636,"CYP26B1"
"ENSG00000003147",131.3252746,197.917114,"ICA1"
"ENSG00000003249",338.0951226,480.137453,"DBNDD1"
"ENSG00000003393",610.4944793,418.164198,"ALS2"
"ENSG00000003402",159.5531291,50.94437942,"CFLAR"
"ENSG00000003509",263.0616491,186.017456,"NDUFAF7"
