"ensembl_gene_id","external_gene_name","gene_biotype","external_gene_source","postip_21c_3.5","postip_21c_1.23","postip_21c_1.9","postip_21s_6.11","postip_21s_3.15","postip_21s_1.23","preip_21c_3.5","preip_21c_1.23","preip_21c_1.9","preip_21s_6.11","preip_21s_3.15","preip_21s_1.23"
"ENSMUSG00000000001","Gnai3","protein_coding","MGI Symbol",555,158,309,105,240,229,415,371,323,429,428,365
"ENSMUSG00000000003","Pbsn","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028","Cdc45","protein_coding","MGI Symbol",64,7,41,17,32,6,36,32,35,53,34,29
"ENSMUSG00000000031","H19","lincRNA","MGI Symbol",1190,917,4541,243,431,513,443,1245,495,293,560,996
"ENSMUSG00000000037","Scml2","protein_coding","MGI Symbol",5,6,12,0,0,5,22,21,3,3,9,4
"ENSMUSG00000000049","Apoh","protein_coding","MGI Symbol",3,6,27,1,5,3,4,5,15,3,3,3
"ENSMUSG00000000056","Narf","protein_coding","MGI Symbol",1054,729,689,819,1096,950,1387,1213,1203,1089,1269,1270
"ENSMUSG00000000058","Cav2","protein_coding","MGI Symbol",99,55,72,61,57,86,102,155,77,81,80,107
"ENSMUSG00000000078","Klf6","protein_coding","MGI Symbol",388,261,250,129,153,191,553,623,521,428,666,576
"ENSMUSG00000000085","Scmh1","protein_coding","MGI Symbol",484,325,807,188,871,323,898,892,755,585,742,737
"ENSMUSG00000000088","Cox5a","protein_coding","MGI Symbol",3278,2070,2319,3323,4002,3463,1943,1744,1886,1980,1049,1429
"ENSMUSG00000000093","Tbx2","protein_coding","MGI Symbol",4,1,11,4,0,6,1,15,17,13,4,16
"ENSMUSG00000000094","Tbx4","protein_coding","MGI Symbol",0,0,0,0,0,0,0,1,12,4,1,7
"ENSMUSG00000000103","Zfy2","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120","Ngfr","protein_coding","MGI Symbol",39,286,65,19,94,12,60,132,111,28,48,128
"ENSMUSG00000000125","Wnt3","protein_coding","MGI Symbol",85,35,112,30,51,12,203,171,161,143,104,108
"ENSMUSG00000000126","Wnt9a","protein_coding","MGI Symbol",75,47,3,7,13,10,23,10,11,9,13,29
"ENSMUSG00000000127","Fer","protein_coding","MGI Symbol",152,81,109,39,155,92,287,250,176,250,220,227
"ENSMUSG00000000131","Xpo6","protein_coding","MGI Symbol",2194,1547,1849,1047,2970,1130,1991,1752,1685,1346,1486,1829
"ENSMUSG00000000134","Tfe3","protein_coding","MGI Symbol",1337,1067,1067,488,1515,514,677,782,934,581,643,729
"ENSMUSG00000000142","Axin2","protein_coding","MGI Symbol",134,80,232,99,179,122,266,271,258,160,272,356
"ENSMUSG00000000148","Brat1","protein_coding","MGI Symbol",146,49,104,48,67,39,171,123,129,121,130,134
"ENSMUSG00000000149","Gna12","protein_coding","MGI Symbol",799,449,1105,499,372,299,2495,2217,2409,1825,1179,2082
"ENSMUSG00000000154","Slc22a18","protein_coding","MGI Symbol",7,0,18,14,0,5,1,6,45,11,3,4
"ENSMUSG00000000157","Itgb2l","protein_coding","MGI Symbol",0,0,0,0,2,0,0,1,0,0,0,1
"ENSMUSG00000000159","Igsf5","protein_coding","MGI Symbol",3,0,13,0,0,0,9,3,0,1,2,2
"ENSMUSG00000000167","Pih1d2","protein_coding","MGI Symbol",17,5,36,5,2,1,25,15,39,24,18,12
"ENSMUSG00000000168","Dlat","protein_coding","MGI Symbol",6190,3013,3275,1955,4160,3961,2369,1979,2074,1921,2232,2286
"ENSMUSG00000000171","Sdhd","protein_coding","MGI Symbol",3662,1746,2901,2920,2646,2686,1877,1836,1829,2451,1253,1605
"ENSMUSG00000000182","Fgf23","protein_coding","MGI Symbol",3,4,0,5,0,12,22,12,2,13,26,14
"ENSMUSG00000000183","Fgf6","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184","Ccnd2","protein_coding","MGI Symbol",197,392,775,120,553,406,359,387,242,217,317,367
"ENSMUSG00000000194","Gpr107","protein_coding","MGI Symbol",711,387,347,469,307,314,813,513,620,831,511,636
