ensembl_id	mean_counts_SOD1_A4V_+	mean_counts_SOD1_+_+
ENSG00000000419	207.9371611	287.3946445
ENSG00000000457	86.15341586	100.2836837
ENSG00000000460	77.01127989	42.46101818
ENSG00000001036	219.6403617	203.3317723
ENSG00000001084	207.8384436	158.495575
ENSG00000001167	300.7458856	226.4863412
ENSG00000001460	317.1827322	355.6339253
ENSG00000001461	292.9549275	274.8861515
ENSG00000001497	366.1391123	303.0420909
ENSG00000001561	348.9633496	227.8903476
ENSG00000001617	60.70667775	87.84056653
ENSG00000001626	104.0473412	16.27230026
ENSG00000001629	1550.256191	955.6428433
ENSG00000001630	30.92568697	44.98199853
ENSG00000001631	309.7195901	147.2991717
ENSG00000002016	128.4209604	61.46288876
ENSG00000002330	166.8568864	318.3357743
ENSG00000002549	257.6071805	276.0914131
ENSG00000002586	1678.824559	2000.755848
ENSG00000002587	67.94976796	181.444895
ENSG00000002746	157.4901753	302.2369662
ENSG00000002822	163.4092278	293.1921212
ENSG00000002834	773.4907437	989.1584544
ENSG00000002919	219.6874587	420.6159572
ENSG00000002933	23.29863693	132.4680241
ENSG00000003056	432.3337856	452.6534191
ENSG00000003096	305.1833791	387.2851498
ENSG00000003137	1142.301885	12.23891636
ENSG00000003147	131.3252746	197.917114
ENSG00000003249	338.0951226	480.137453
ENSG00000003393	610.4944793	418.164198
ENSG00000003402	159.5531291	50.94437942
ENSG00000003509	263.0616491	186.017456
ENSG00000003756	1975.920031	1084.843887
ENSG00000003987	179.2311526	249.123267
ENSG00000003989	39.75810035	18.99123508
ENSG00000004059	615.9643814	1219.383403
ENSG00000004139	163.2208395	156.9355988
ENSG00000004142	604.2050371	945.4677486
ENSG00000004399	91.54269396	45.49162238
ENSG00000004455	482.6368203	591.1092992
ENSG00000004478	940.5586352	1718.872095
ENSG00000004487	1466.012731	1830.50793
ENSG00000004534	853.5077152	619.0971484
ENSG00000004660	73.03384685	60.08745926
ENSG00000004700	122.4593342	93.0988484
ENSG00000004766	338.661084	443.0139557
ENSG00000004777	863.9086983	813.5815923
ENSG00000004779	387.7877589	771.108382
ENSG00000004799	22.41204289	4.437970306
ENSG00000004838	537.5032062	758.4530679
ENSG00000004848	561.001938	243.5123128
ENSG00000004864	278.0150734	373.0199719
ENSG00000004866	311.9483154	627.6458314
ENSG00000004897	600.672231	749.6814845
ENSG00000004961	127.1078328	219.6877673
ENSG00000004975	394.4883011	387.9124462
ENSG00000005007	873.7878869	791.5162108
ENSG00000005020	2569.341463	1552.111197
ENSG00000005022	544.6901526	924.6577034
ENSG00000005059	52.3859453	88.35460446
ENSG00000005075	209.5083908	335.1240404
ENSG00000005100	481.1379644	215.4231332
ENSG00000005108	538.4730842	352.3905634
ENSG00000005156	230.2033894	253.8496954
ENSG00000005175	274.0756907	327.4483556
ENSG00000005189	40.22720759	56.57331669
ENSG00000005194	460.7274116	984.9879831
ENSG00000005206	687.2186535	417.8577435
ENSG00000005238	397.3699985	386.9235962
ENSG00000005243	2.246818669	7.374094576
ENSG00000005249	1099.404512	1651.135233
ENSG00000005302	344.8808123	363.266518
ENSG00000005339	1074.546352	592.1591483
ENSG00000005379	847.0995986	439.4114953
ENSG00000005436	202.2988276	115.7979286
ENSG00000005448	257.344555	384.8029982
ENSG00000005469	141.9018724	134.8836436
ENSG00000005483	921.8866766	515.3876701
ENSG00000005486	1323.350123	1872.978899
ENSG00000005513	33.38351072	53.28620875
ENSG00000005700	579.6068427	410.9476653
ENSG00000005801	346.4629522	376.7440874
ENSG00000005810	1337.223245	1012.384203
ENSG00000005812	279.9295526	255.1822117
ENSG00000005882	94.99487597	125.1572215
ENSG00000005884	537.0133455	951.0759775
ENSG00000005889	302.88494	144.8891216
ENSG00000005893	883.4888009	598.9050533
ENSG00000005955	552.4249668	504.3451829
ENSG00000005961	14.21264476	6.033128526
ENSG00000006007	1006.044193	1709.764937
ENSG00000006015	150.7297624	273.1123632
ENSG00000006016	2.926930985	12.34184603
ENSG00000006025	171.739007	134.3936915
ENSG00000006042	474.1122661	540.2488766
ENSG00000006047	15.67611025	13.12480133
ENSG00000006062	155.575696	96.85122369
ENSG00000006071	326.8410724	171.750631
ENSG00000006114	635.6405416	564.7770676
ENSG00000006116	14.72884906	21.48756082
ENSG00000006118	1808.836977	1996.05365
ENSG00000006125	4022.765196	6177.027921
ENSG00000006128	5404.042502	23353.16656
ENSG00000006194	158.3568125	225.075346
ENSG00000006210	210.5163192	197.5169771
ENSG00000006282	248.6379993	306.856159
ENSG00000006327	126.9394014	234.1244784
ENSG00000006432	504.051845	469.4053355
ENSG00000006451	527.1711404	791.8985695
ENSG00000006459	200.8398855	121.8568254
ENSG00000006468	69.28551236	64.86649627
ENSG00000006530	318.9559202	349.5481944
ENSG00000006534	212.3094641	118.6990623
ENSG00000006576	202.711791	185.8600013
ENSG00000006607	180.1313167	115.3201094
ENSG00000006625	160.6462048	216.8459316
ENSG00000006634	42.00944239	51.13373441
ENSG00000006652	585.5168484	522.1468757
ENSG00000006695	115.8782628	156.2020245
ENSG00000006704	270.7177028	328.0387875
ENSG00000006712	462.1347333	529.0244547
ENSG00000006715	878.5931103	577.9189536
ENSG00000006740	108.2466894	177.9075473
ENSG00000006744	427.882722	582.3568823
ENSG00000006756	177.7522536	149.4436872
ENSG00000006757	113.1152399	144.4532932
ENSG00000006831	478.3587114	307.9043256
ENSG00000006837	33.95585881	43.18401108
ENSG00000007047	524.881748	695.81576
ENSG00000007062	904.5078887	555.6604507
ENSG00000007080	441.7068836	816.618994
ENSG00000007168	3293.878486	3723.263225
ENSG00000007174	1.515085922	158.9873771
ENSG00000007202	1136.332535	1227.740133
ENSG00000007237	160.5520107	77.06669728
ENSG00000007255	67.97690815	73.75098231
ENSG00000007264	20.21684465	36.88814496
ENSG00000007341	123.716318	121.9235011
ENSG00000007372	39.22832596	25.28568805
ENSG00000007376	151.2414434	244.6014461
ENSG00000007384	143.0556153	101.1895939
ENSG00000007392	1064.407994	741.585259
ENSG00000007402	531.9726369	482.323822
ENSG00000007516	4382.551254	1379.442183
ENSG00000007520	196.4313955	345.3974426
ENSG00000007541	948.3187263	646.1091051
ENSG00000007545	234.0685349	135.4710216
ENSG00000007866	85.80111958	44.63908717
ENSG00000007923	265.9614399	319.5812247
ENSG00000007944	93.93985055	44.40358508
ENSG00000007968	17.76354427	4.271125793
ENSG00000008018	726.3972224	1263.222763
ENSG00000008056	780.4930287	1502.573298
ENSG00000008083	238.5621722	152.8996881
ENSG00000008086	58.52052625	39.17947963
ENSG00000008118	22.72628884	53.19197424
ENSG00000008128	427.6381899	357.405324
ENSG00000008130	542.4098069	549.5792472
ENSG00000008226	198.8846959	57.16974331
ENSG00000008256	281.7498378	200.0461857
ENSG00000008277	364.7136971	250.9286145
ENSG00000008282	816.0661474	586.7011931
ENSG00000008283	687.7973883	724.7339048
ENSG00000008294	3127.501873	1876.592259
ENSG00000008300	800.6292493	856.279796
ENSG00000008311	226.4079579	35.30620312
ENSG00000008324	50.10559966	93.51779502
ENSG00000008382	152.5545709	261.2766201
ENSG00000008405	282.7396727	274.0181185
ENSG00000008441	176.8049924	98.29979037
ENSG00000008513	81.33648584	136.7203464
ENSG00000008516	23.56126244	19.01335042
ENSG00000008710	3074.106677	1173.017873
ENSG00000008735	902.6000666	1256.516668
ENSG00000008838	1010.16744	992.2175283
ENSG00000008853	344.3374678	479.1254094
ENSG00000008869	622.5318827	570.1388843
ENSG00000008952	1260.935447	1251.284659
ENSG00000008988	1506.110354	2875.494561
ENSG00000009307	4236.864875	4276.766992
ENSG00000009335	621.7349594	519.9880063
ENSG00000009413	1596.430658	1142.178469
ENSG00000009694	2296.307498	2062.132791
ENSG00000009724	63.6381321	16.95481112
ENSG00000009780	106.0134409	59.88463002
ENSG00000009830	823.4505288	572.8355708
ENSG00000009844	567.8855486	941.8925955
ENSG00000009954	1000.538104	759.1346655
ENSG00000010017	528.3384534	511.9355561
ENSG00000010072	136.2590155	130.8649194
ENSG00000010165	158.816873	268.0188305
ENSG00000010219	146.0812638	253.38735
ENSG00000010244	1412.475703	1482.427602
ENSG00000010256	857.1881992	1707.64531
ENSG00000010270	813.3358548	1502.788117
ENSG00000010278	714.9013001	296.8163195
ENSG00000010292	340.8137085	224.5626974
ENSG00000010295	184.0661761	146.5481947
ENSG00000010310	232.0263345	37.96449862
ENSG00000010318	29.72937036	21.72545245
ENSG00000010322	2504.47774	2609.41105
ENSG00000010361	155.2279231	146.8487554
ENSG00000010404	3331.956526	2412.089673
ENSG00000010539	77.52748419	131.3806398
ENSG00000010626	254.5480051	232.1707613
ENSG00000010803	418.8864006	426.5713077
ENSG00000010810	1137.533375	1222.108429
ENSG00000010818	773.5061772	558.3341794
ENSG00000011007	389.1796471	388.9155919
ENSG00000011009	758.8018084	1124.198356
ENSG00000011021	619.1693715	548.6735761
ENSG00000011028	1190.510559	695.4814295
ENSG00000011052	12.43493332	14.6336299
ENSG00000011105	344.0929358	502.1850367
ENSG00000011114	359.5018971	169.9170425
ENSG00000011132	59.72136622	88.26205242
ENSG00000011143	217.9794612	248.9681239
ENSG00000011198	87.92208056	126.6370604
ENSG00000011201	470.8205356	500.5441868
ENSG00000011243	914.6680667	705.2366864
ENSG00000011258	326.4597725	251.4762767
ENSG00000011260	205.9529679	412.6874393
ENSG00000011275	887.3874733	666.7309569
ENSG00000011295	584.8974033	614.3892427
ENSG00000011304	1298.851442	934.0055757
ENSG00000011332	179.2872964	298.7443702
ENSG00000011347	303.115902	421.4951768
ENSG00000011376	284.4748104	334.1298008
ENSG00000011405	725.7940073	276.7493349
ENSG00000011426	101.3513721	29.88523296
ENSG00000011451	925.4684431	818.6231163
ENSG00000011454	1075.511706	708.5510609
ENSG00000011465	781.6012676	2008.151268
ENSG00000011478	44.30335812	85.8440558
ENSG00000011485	890.8189019	1244.278878
ENSG00000011523	394.2121055	419.2655296
ENSG00000011566	561.2573802	515.0257993
ENSG00000011638	96.65125309	216.3484698
ENSG00000011677	253.7266015	391.0066845
ENSG00000012048	73.24485194	36.7196835
ENSG00000012061	326.919833	400.3941175
ENSG00000012174	551.2331736	472.9011592
ENSG00000012232	929.1497237	1120.291118
ENSG00000012660	990.3265756	707.862807
ENSG00000012822	605.9473581	587.497394
ENSG00000012963	239.4216261	355.6965351
ENSG00000012983	695.7722113	527.8091627
ENSG00000013016	233.9091502	255.1010563
ENSG00000013275	600.8334791	1063.417564
ENSG00000013288	441.085575	352.3136174
ENSG00000013293	44.0968764	83.06841637
ENSG00000013297	68.42792192	18.80895829
ENSG00000013306	270.3183094	342.0048657
ENSG00000013364	115.5504468	226.102744
ENSG00000013374	464.7700352	464.2144956
ENSG00000013375	532.0939712	425.2063037
ENSG00000013392	107.7350085	156.4413292
ENSG00000013441	1085.505046	880.4484633
ENSG00000013503	123.8195588	147.8338037
ENSG00000013523	380.829911	207.7044022
ENSG00000013561	430.3831194	655.3012674
ENSG00000013563	38.92312675	33.95855401
ENSG00000013573	139.3453312	60.84258012
ENSG00000013583	101.4727065	102.1147391
ENSG00000013588	20.27298845	2.250283838
ENSG00000013619	97.27069824	43.50373504
ENSG00000013810	146.9633345	57.90406631
ENSG00000014123	358.6714469	193.4536748
ENSG00000014138	63.00964022	67.89973542
ENSG00000014164	188.5462433	223.3112949
